competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
10062511,,,2,49.394,,2.890,0.021,0.005,False,False,,,
10062511,,,3,50.651,,2.973,0.353,0.005,False,False,,,
10062511,,,4,49.211,,2.974,0.038,0.188,False,False,,,
10062511,,,5,48.901,,2.831,0.210,0.064,False,False,,,
10062511,,,6,48.380,,2.310,0.145,0.213,False,False,,,
10062511,,,7,55.992,,2.310,0.163,0.213,False,False,,,
10062511,,,8,48.882,18:00:43.806,2.310,0.163,0.213,False,True,,,
11390202,,,1,49.399,,2.895,0.026,0.315,False,False,,,
11390202,,,2,49.529,,2.895,0.026,0.315,False,False,,,
11390202,,,3,51.090,,2.978,0.005,0.466,False,False,,,
11390202,,,4,49.447,,3.162,0.005,1.707,False,False,,,
11390202,,,5,48.965,,2.895,0.064,1.685,False,False,,,
11390202,,,6,48.593,,2.523,0.358,0.098,False,False,,,
11390202,,,7,57.039,,2.523,0.213,1.879,False,False,,,
11390202,,,8,49.285,18:00:44.984,2.523,0.213,1.415,False,True,,,
10205577,,,1,54.896,,8.392,2.688,,False,False,,,
10205577,,,2,53.271,,6.767,1.063,,False,False,,,
10205577,,,3,52.018,,5.781,0.912,,False,False,,,
10205577,,,4,50.650,,4.580,1.251,0.384,False,False,,,
10205577,,,5,51.066,,4.580,1.685,0.384,False,False,,,
10205577,,,6,50.472,,4.402,1.781,0.562,False,False,,,
10205577,,,7,50.008,18:00:29.790,3.938,1.415,1.026,False,True,,,
15508614,,,1,52.799,,6.295,2.526,2.097,False,False,,,
15508614,,,2,52.208,,5.704,1.935,2.688,False,False,,,
15508614,,,3,51.106,,4.685,1.707,2.165,False,False,,,
15508614,,,4,51.034,,4.797,1.635,0.984,False,False,,,
15508614,,,5,52.140,,4.964,0.384,,False,False,,,
15508614,,,6,51.703,,4.964,0.384,,False,False,,,
15508614,,,7,51.138,18:00:20.910,4.964,0.562,,False,True,,,
